Region,Lat_Min,Lat_Max,Long_Min,Long_Max
Northland,-36.38,-34.38,172.03,174.87
Auckland,-37.28,-36.05,174.14,175.52
Waikato,-39.1,-36.33,174.58,176.43
Bay of Plenty,-39.01,-37.42,175.76,178.23
Gisborne,-39.14,-37.54,177.37,178.55
Hawkes Bay,-40.42,-38.65,175.88,178.07
Taranaki,-39.92,-38.44,173.74,175.14
Manawatu-Whanganui,-40.75,-38.61,174.72,176.84
Wellington,-41.62,-40.59,174.62,176.39
Tasman,-42.42,-40.47,171.95,173.34
Nelson,-41.38,-41.17,173.18,173.47
Marlborough,-42.41,-40.85,173.23,174.45
West Coast,-44.4,-40.77,168.04,172.33
Canterbury,-45.16,-41.92,169.61,174.11
Otago,-46.66,-43.83,168.16,171.16
Southland,-47.29,-44.29,166.42,170.16
