TLA,TLA_CLEANED,REGION
STRATFORD DISTRICT,STRATFORD,Taranaki
AUCKLAND,AUCKLAND,Auckland
DUNEDIN CITY,DUNEDIN,Otago
WHANGAREI DISTRICT,WHANGAREI,Northland
CHRISTCHURCH CITY,CHRISTCHURCH,Canterbury
CLUTHA DISTRICT,CLUTHA,Otago
GISBORNE DISTRICT,GISBORNE,Gisborne
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO,Otago
WAIMAKARIRI DISTRICT,WAIMAKARIRI,Canterbury
HAMILTON CITY,HAMILTON,Waikato
MARLBOROUGH DISTRICT,MARLBOROUGH,Marlborough
HAURAKI DISTRICT,HAURAKI,Waikato
WHANGANUI DISTRICT,WHANGANUI,Manawatu-Whanganui
HURUNUI DISTRICT,HURUNUI,Canterbury
TARARUA DISTRICT,TARARUA,Manawatu-Whanganui
TAUPO DISTRICT,TAUPO,Waikato
TIMARU DISTRICT,TIMARU,Canterbury
WAIROA DISTRICT,WAIROA,Hawkes Bay
CHATHAM ISLANDS TERRITORY,CHATHAM ISLANDS TERRITORY,NA
WELLINGTON CITY,WELLINGTON,Wellington
TAURANGA CITY,TAURANGA,Bay of Plenty
INVERCARGILL CITY,INVERCARGILL,Southland
OTOROHANGA DISTRICT,OTOROHANGA,Waikato
WAITOMO DISTRICT,WAITOMO,Waikato
ROTORUA DISTRICT,ROTORUA,Bay of Plenty
CENTRAL HAWKE'S BAY DISTRICT,CENTRAL HAWKE'S BAY,Hawkes Bay
MACKENZIE DISTRICT,MACKENZIE,Canterbury
KAIPARA DISTRICT,KAIPARA,Northland
SOUTH TARANAKI DISTRICT,SOUTH TARANAKI,Taranaki
KAPITI COAST DISTRICT,KAPITI COAST,Wellington
WHAKATANE DISTRICT,WHAKATANE,Bay of Plenty
HOROWHENUA DISTRICT,HOROWHENUA,Manawatu-Whanganui
QUEENSTOWN-LAKES DISTRICT,QUEENSTOWN-LAKES,Otago
WAIPA DISTRICT,WAIPA,Waikato
TASMAN DISTRICT,TASMAN,Tasman
PORIRUA CITY,PORIRUA,Wellington
MANAWATU DISTRICT,MANAWATU,Manawatu-Whanganui
WESTERN BAY OF PLENTY DISTRICT,WESTERN BAY OF PLENTY,Bay of Plenty
NEW PLYMOUTH DISTRICT,NEW PLYMOUTH,Taranaki
PALMERSTON NORTH CITY,PALMERSTON NORTH,Manawatu-Whanganui
RUAPEHU DISTRICT,RUAPEHU,Manawatu-Whanganui
SELWYN DISTRICT,SELWYN,Canterbury
FAR NORTH DISTRICT,FAR NORTH,Northland
LOWER HUTT CITY,LOWER HUTT,Wellington
THAMES-COROMANDEL DISTRICT,THAMES-COROMANDEL,Waikato
ASHBURTON DISTRICT,ASHBURTON,Canterbury
CARTERTON DISTRICT,CARTERTON,Wellington
HASTINGS DISTRICT,HASTINGS,Hawkes Bay
WAIKATO DISTRICT,WAIKATO,Waikato
MASTERTON DISTRICT,MASTERTON,Wellington
UPPER HUTT CITY,UPPER HUTT,Wellington
SOUTH WAIRARAPA DISTRICT,SOUTH WAIRARAPA,Wellington
NELSON CITY,NELSON,Nelson
MATAMATA-PIAKO DISTRICT,MATAMATA-PIAKO,Waikato
OPOTIKI DISTRICT,OPOTIKI,Bay of Plenty
WAIMATE DISTRICT,WAIMATE,Canterbury
NAPIER CITY,NAPIER,Hawkes Bay
BULLER DISTRICT,BULLER,West Coast
WESTLAND DISTRICT,WESTLAND,West Coast
SOUTH WAIKATO DISTRICT,SOUTH WAIKATO,Waikato
KAWERAU DISTRICT,KAWERAU,Bay of Plenty
GREY DISTRICT,GREY,West Coast
WAITAKI DISTRICT,WAITAKI,Otago
RANGITIKEI DISTRICT,RANGITIKEI,Manawatu-Whanganui
SOUTHLAND DISTRICT,SOUTHLAND,Southland
KAIKOURA DISTRICT,KAIKOURA,Canterbury
GORE DISTRICT,GORE,Southland
